,label
DATA.907044,resistant
DATA.1290771,resistant
DATA.908441,resistant
DATA.1330935,resistant
DATA.1660035,resistant
DATA.687821,resistant
DATA.909784,resistant
DATA.1330964,resistant
DATA.910688,resistant
DATA.909260,resistant
ACH-000858,resistant
DATA.909253,resistant
DATA.949158,resistant
DATA.910779,resistant
DATA.724878,resistant
DATA.1330950,resistant
DATA.906824,resistant
DATA.687816,resistant
DATA.907269,resistant
DATA.1659823,resistant
DATA.1322218,resistant
DATA.949166,resistant
DATA.924111,resistant
ACH-000537,resistant
DATA.925341,resistant
DATA.971773,resistant
DATA.909904,resistant
DATA.910903,resistant
DATA.906873,resistant
DATA.753594,resistant
DATA.1509073,resistant
ACH-000535,resistant
DATA.949153,resistant
DATA.1240209,resistant
DATA.687586,resistant
DATA.909697,resistant
DATA.1240157,resistant
DATA.905983,resistant
DATA.907064,resistant
DATA.906791,resistant
DATA.753584,resistant
DATA.908144,resistant
DATA.908143,resistant
DATA.907311,resistant
DATA.753607,resistant
DATA.753574,resistant
DATA.906790,resistant
DATA.908476,resistant
DATA.906835,resistant
DATA.1297439,resistant
DATA.687819,resistant
DATA.908447,resistant
DATA.1240189,resistant
DATA.753551,resistant
ACH-000620,resistant
DATA.905970,resistant
DATA.753556,resistant
DATA.1240131,resistant
DATA.1298350,resistant
DATA.907299,resistant
DATA.924104,resistant
DATA.724838,resistant
DATA.907317,resistant
DATA.906837,resistant
DATA.1240192,resistant
DATA.908446,resistant
DATA.1240185,resistant
DATA.1240186,resistant
DATA.1240159,resistant
DATA.908152,resistant
DATA.998189,resistant
ACH-000433,resistant
DATA.930298,resistant
DATA.683665,resistant
DATA.908470,resistant
DATA.905976,resistant
DATA.907295,resistant
DATA.910700,resistant
DATA.907173,resistant
DATA.724873,resistant
ACH-000223,resistant
DATA.910941,resistant
DATA.908123,resistant
DATA.1240138,resistant
DATA.724859,resistant
DATA.908141,resistant
DATA.1330942,resistant
DATA.1290812,resistant
DATA.1290797,resistant
DATA.753621,resistant
DATA.753554,resistant
DATA.910907,resistant
DATA.907065,resistant
DATA.910911,resistant
DATA.907000,resistant
DATA.905938,resistant
DATA.1240121,resistant
DATA.722066,resistant
DATA.908444,resistant
DATA.909255,resistant
ACH-000018,resistant
DATA.907050,resistant
DATA.908462,resistant
DATA.1298357,resistant
DATA.908457,resistant
DATA.1240223,resistant
